drug,year,ae_reports
levetiracetam,2015,0
levetiracetam,2016,0
levetiracetam,2017,0
levetiracetam,2018,0
levetiracetam,2019,0
levetiracetam,2020,0
levetiracetam,2021,0
levetiracetam,2022,0
levetiracetam,2023,0
brivaracetam,2015,0
brivaracetam,2016,0
brivaracetam,2017,0
brivaracetam,2018,0
brivaracetam,2019,0
brivaracetam,2020,0
brivaracetam,2021,0
brivaracetam,2022,0
brivaracetam,2023,0
lamotrigine,2015,0
lamotrigine,2016,0
lamotrigine,2017,0
lamotrigine,2018,0
lamotrigine,2019,0
lamotrigine,2020,0
lamotrigine,2021,0
lamotrigine,2022,0
lamotrigine,2023,0
topiramate,2015,0
topiramate,2016,0
topiramate,2017,0
topiramate,2018,0
topiramate,2019,0
topiramate,2020,0
topiramate,2021,0
topiramate,2022,0
topiramate,2023,0
valproate,2015,0
valproate,2016,0
valproate,2017,0
valproate,2018,0
valproate,2019,0
valproate,2020,0
valproate,2021,0
valproate,2022,0
valproate,2023,0
carbamazepine,2015,0
carbamazepine,2016,0
carbamazepine,2017,0
carbamazepine,2018,0
carbamazepine,2019,0
carbamazepine,2020,0
carbamazepine,2021,0
carbamazepine,2022,0
carbamazepine,2023,0
oxcarbazepine,2015,0
oxcarbazepine,2016,0
oxcarbazepine,2017,0
oxcarbazepine,2018,0
oxcarbazepine,2019,0
oxcarbazepine,2020,0
oxcarbazepine,2021,0
oxcarbazepine,2022,0
oxcarbazepine,2023,0
lacosamide,2015,0
lacosamide,2016,0
lacosamide,2017,0
lacosamide,2018,0
lacosamide,2019,0
lacosamide,2020,0
lacosamide,2021,0
lacosamide,2022,0
lacosamide,2023,0
zonisamide,2015,0
zonisamide,2016,0
zonisamide,2017,0
zonisamide,2018,0
zonisamide,2019,0
zonisamide,2020,0
zonisamide,2021,0
zonisamide,2022,0
zonisamide,2023,0
perampanel,2015,0
perampanel,2016,0
perampanel,2017,0
perampanel,2018,0
perampanel,2019,0
perampanel,2020,0
perampanel,2021,0
perampanel,2022,0
perampanel,2023,0
