drug,total_claims,total_patients,total_days_supply,total_drug_cost,states_covered,cost_per_claim,cost_per_patient
Levetiracetam,4057368,532806.0,173845415,185662993.57,56,45.75946612927395,348.46265539427105
Lamotrigine,3766590,416716.0,168048985,141020639.52,58,37.439869887617185,338.4094671670874
Topiramate,2709469,318744.0,133282670,71683812.63,58,26.456775342327223,224.89462587531057
Oxcarbazepine,995156,73651.0,38165787,72793438.75,57,73.14776653107654,988.3564208225279
Carbamazepine,855051,26704.0,32346711,71428102.33,57,83.53665726371877,2674.80910462852
Lacosamide,752421,72818.0,26220361,133263169.58,54,177.1125069342828,1830.0855500013733
Zonisamide,317841,35596.0,14767805,21055151.6,53,66.24429069880853,591.5033037419935
Brivaracetam,111759,5873.0,3401978,179183679.97,52,1603.3042526328975,30509.73607525966
Valproic Acid,49337,614.0,1322468,2106372.03,54,42.693557168048315,3430.5733387622145
Perampanel,47067,1412.0,1419246,58814268.87,50,1249.5860979029892,41653.164922096315
